Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[disease]	Characteristics[growth condition]	Characteristics[cell type]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[growth condition]
THP1 BR1 CTR+LPS_RNA	ERS1421235	SAMEA4522056	Homo sapiens	THP-1	acute monocytic leukemia	lipopolysaccharide only	monocyte	cell	P-MTAB-52390	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	THP1 BR1 CTR+LPS_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	THP1 BR1 CTR+LPS_RNA	sequencing assay	ERX1771426	20485_1_2.cram	20485_1_2.cram	ERR1701138	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/008/ERR1701138/ERR1701138_1.fastq.gz	150	76	lipopolysaccharide only
THP1 BR1 CTR+LPS_RNA	ERS1421235	SAMEA4522056	Homo sapiens	THP-1	acute monocytic leukemia	lipopolysaccharide only	monocyte	cell	P-MTAB-52390	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	THP1 BR1 CTR+LPS_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	THP1 BR1 CTR+LPS_RNA	sequencing assay	ERX1771426	20485_1_2.cram	20485_1_2.cram	ERR1701138	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/008/ERR1701138/ERR1701138_2.fastq.gz	150	76	lipopolysaccharide only
THP1 BR1 CTR_RNA	ERS1421236	SAMEA4522057	Homo sapiens	THP-1	acute monocytic leukemia	medium-only control	monocyte	cell	P-MTAB-52389	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	THP1 BR1 CTR_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	THP1 BR1 CTR_RNA	sequencing assay	ERX1771427	20485_1_1.cram	20485_1_1.cram	ERR1701139	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1701139/ERR1701139_1.fastq.gz	150	76	medium-only control
THP1 BR1 CTR_RNA	ERS1421236	SAMEA4522057	Homo sapiens	THP-1	acute monocytic leukemia	medium-only control	monocyte	cell	P-MTAB-52389	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	THP1 BR1 CTR_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	THP1 BR1 CTR_RNA	sequencing assay	ERX1771427	20485_1_1.cram	20485_1_1.cram	ERR1701139	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1701139/ERR1701139_2.fastq.gz	150	76	medium-only control
THP1 BR1 PMA+LPS_RNA	ERS1421237	SAMEA4522058	Homo sapiens	THP-1	acute monocytic leukemia	phorbol myristate acetate and lipopolysaccharide	monocyte	cell	P-MTAB-52387	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	THP1 BR1 PMA+LPS_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	THP1 BR1 PMA+LPS_RNA	sequencing assay	ERX1771428	20485_1_4.cram	20485_1_4.cram	ERR1701140	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1701140/ERR1701140_1.fastq.gz	150	76	phorbol myristate acetate and lipopolysaccharide
THP1 BR1 PMA+LPS_RNA	ERS1421237	SAMEA4522058	Homo sapiens	THP-1	acute monocytic leukemia	phorbol myristate acetate and lipopolysaccharide	monocyte	cell	P-MTAB-52387	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	THP1 BR1 PMA+LPS_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	THP1 BR1 PMA+LPS_RNA	sequencing assay	ERX1771428	20485_1_4.cram	20485_1_4.cram	ERR1701140	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1701140/ERR1701140_2.fastq.gz	150	76	phorbol myristate acetate and lipopolysaccharide
THP1 BR1 PMA_RNA	ERS1421238	SAMEA4522059	Homo sapiens	THP-1	acute monocytic leukemia	phorbol myristate acetate only	monocyte	cell	P-MTAB-52388	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	THP1 BR1 PMA_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	THP1 BR1 PMA_RNA	sequencing assay	ERX1771429	20485_1_3.cram	20485_1_3.cram	ERR1701141	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/001/ERR1701141/ERR1701141_1.fastq.gz	150	76	phorbol myristate acetate only
THP1 BR1 PMA_RNA	ERS1421238	SAMEA4522059	Homo sapiens	THP-1	acute monocytic leukemia	phorbol myristate acetate only	monocyte	cell	P-MTAB-52388	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	THP1 BR1 PMA_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	THP1 BR1 PMA_RNA	sequencing assay	ERX1771429	20485_1_3.cram	20485_1_3.cram	ERR1701141	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/001/ERR1701141/ERR1701141_2.fastq.gz	150	76	phorbol myristate acetate only
THP1 BR1 VD3+LPS_RNA	ERS1421239	SAMEA4522060	Homo sapiens	THP-1	acute monocytic leukemia	vitamin D3 and lipopolyssacharide	monocyte	cell	P-MTAB-52386	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	THP1 BR1 VD3+LPS_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	THP1 BR1 VD3+LPS_RNA	sequencing assay	ERX1771430	20485_1_6.cram	20485_1_6.cram	ERR1701142	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/002/ERR1701142/ERR1701142_1.fastq.gz	150	76	vitamin D3 and lipopolyssacharide
THP1 BR1 VD3+LPS_RNA	ERS1421239	SAMEA4522060	Homo sapiens	THP-1	acute monocytic leukemia	vitamin D3 and lipopolyssacharide	monocyte	cell	P-MTAB-52386	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	THP1 BR1 VD3+LPS_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	THP1 BR1 VD3+LPS_RNA	sequencing assay	ERX1771430	20485_1_6.cram	20485_1_6.cram	ERR1701142	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/002/ERR1701142/ERR1701142_2.fastq.gz	150	76	vitamin D3 and lipopolyssacharide
