# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 FPKM in experiment E-MTAB-4101
# Selected columns: 6 (all)
# Timestamp: Wed, 06-Sep-2017 12:44:20
Gene ID	Gene Name	F-36P	HEL9217	K562	KU812	MEG01	UT-7
ENSG00000000003	TSPAN6		3.0			0.1	0.2
ENSG00000000005	TNMD				0.1		0.1
ENSG00000000419	DPM1	38.0	26.0	44.0	28.0	38.0	74.0
ENSG00000000457	SCYL3	2.0	2.0	2.0	2.0	1.0	2.0
ENSG00000000460	C1orf112	3.0	2.0	6.0	4.0	2.0	4.0
ENSG00000000938	FGR		0.1				
ENSG00000000971	CFH	16.0	14.0	46.0	17.0	15.0	0.2
ENSG00000001036	FUCA2	17.0	7.0	54.0	30.0	25.0	26.0
ENSG00000001084	GCLC	7.0	9.0	4.0	16.0	9.0	14.0
ENSG00000001167	NFYA	15.0	23.0	7.0	24.0	24.0	20.0
ENSG00000001460	STPG1	0.1	1.0	0.9	1.0	1.0	2.0
ENSG00000001461	NIPAL3	0.5	12.0	3.0	5.0	8.0	11.0
ENSG00000001497	LAS1L	13.0	6.0	13.0	13.0	12.0	19.0
ENSG00000001561	ENPP4	0.4	6.0		3.0	7.0	9.0
ENSG00000001617	SEMA3F		0.8	0.7	0.4		
ENSG00000001626	CFTR	0.1					
ENSG00000001629	ANKIB1	8.0	5.0	7.0	6.0	6.0	5.0
ENSG00000001630	CYP51A1	2.0	0.6	4.0	2.0	2.0	2.0
ENSG00000001631	KRIT1	6.0	5.0	8.0	6.0	4.0	10.0
ENSG00000002016	RAD52	4.0	5.0	2.0	2.0	2.0	2.0
ENSG00000002330	BAD	10.0	12.0	9.0	14.0	10.0	10.0
ENSG00000002549	LAP3	29.0	21.0	20.0	24.0	19.0	37.0
ENSG00000002586	CD99	80.0	20.0	18.0	40.0	125.0	55.0
ENSG00000002726	AOC1		0.1				
ENSG00000002822	MAD1L1	5.0	6.0	7.0	3.0	3.0	4.0
ENSG00000002834	LASP1	15.0	22.0	69.0	36.0	18.0	31.0
ENSG00000002919	SNX11	5.0	7.0	10.0	6.0	8.0	4.0
ENSG00000002933	TMEM176A			0.4			
ENSG00000003056	M6PR	45.0	41.0	23.0	25.0	41.0	34.0
ENSG00000003096	KLHL13	0.1	0.5	0.2		2.0	2.0
ENSG00000003137	CYP26B1					0.1	
ENSG00000003147	ICA1	8.0	7.0	6.0	11.0	4.0	19.0
ENSG00000003249	DBNDD1		0.1	4.0	0.1	0.2	
ENSG00000003393	ALS2	4.0	5.0	4.0	3.0	5.0	5.0
ENSG00000003400	CASP10	10.0	4.0	5.0	4.0	6.0	3.0
ENSG00000003402	CFLAR	10.0	3.0	7.0	2.0	6.0	2.0
ENSG00000003436	TFPI	4.0	2.0	5.0	4.0	5.0	1.0
ENSG00000003509	NDUFAF7	4.0	4.0	4.0	3.0	6.0	4.0
ENSG00000003756	RBM5	4.0	7.0	6.0	6.0	5.0	6.0
ENSG00000003987	MTMR7	0.6	0.3	0.1	0.2	0.2	
ENSG00000004059	ARF5	31.0	22.0	57.0	21.0	19.0	29.0
ENSG00000004139	SARM1				0.1		0.1
ENSG00000004142	POLDIP2	28.0	69.0	83.0	61.0	61.0	60.0
ENSG00000004399	PLXND1	17.0	16.0	5.0	13.0	0.7	20.0
ENSG00000004455	AK2	53.0	87.0	75.0	60.0	97.0	42.0
ENSG00000004468	CD38			0.1	6.0	0.1	0.2
ENSG00000004478	FKBP4	31.0	42.0	16.0	34.0	70.0	30.0
ENSG00000004487	KDM1A	44.0	47.0	27.0	57.0	54.0	56.0
ENSG00000004534	RBM6	7.0	9.0	7.0	8.0	10.0	7.0
ENSG00000004660	CAMKK1	1.0	0.8	1.0	0.2	0.5	1.0
ENSG00000004700	RECQL	12.0	18.0	10.0	10.0	12.0	27.0
ENSG00000004766	VPS50	3.0	5.0	2.0	6.0	5.0	6.0
ENSG00000004776	HSPB6	0.3	0.1	0.4	0.1		0.3
ENSG00000004777	ARHGAP33	3.0	0.8	3.0	1.0	0.9	2.0
ENSG00000004779	NDUFAB1	31.0	26.0	66.0	42.0	93.0	45.0
ENSG00000004799	PDK4		0.3	0.1	0.1	0.4	0.2
ENSG00000004809	SLC22A16				0.4		
ENSG00000004838	ZMYND10	0.4	0.3	0.1	0.2	0.2	0.1
ENSG00000004846	ABCB5		0.1				0.1
ENSG00000004864	SLC25A13	18.0	8.0	37.0	7.0	4.0	10.0
ENSG00000004866	ST7	10.0	5.0	16.0	6.0	5.0	5.0
ENSG00000004897	CDC27	31.0	25.0	23.0	37.0	33.0	31.0
ENSG00000004939	SLC4A1	2.0		0.7	113.0	2.0	38.0
ENSG00000004948	CALCR			0.1			
ENSG00000004961	HCCS	9.0	12.0	15.0	9.0	11.0	15.0
ENSG00000004975	DVL2	5.0	9.0	11.0	6.0	6.0	16.0
ENSG00000005007	UPF1	35.0	18.0	23.0	24.0	35.0	21.0
ENSG00000005020	SKAP2	0.3	13.0	6.0	5.0	10.0	2.0
ENSG00000005022	SLC25A5	319.0	169.0	243.0	178.0	225.0	352.0
ENSG00000005059	MCUB	1.0	4.0	8.0	8.0	1.0	11.0
ENSG00000005073	HOXA11		3.0			3.0	
ENSG00000005075	POLR2J	22.0	14.0	31.0	13.0	20.0	24.0
ENSG00000005100	DHX33	8.0	10.0	8.0	10.0	12.0	6.0
ENSG00000005108	THSD7A	0.8					
ENSG00000005156	LIG3	3.0	6.0	3.0	4.0	3.0	4.0
ENSG00000005175	RPAP3	19.0	15.0	13.0	9.0	9.0	8.0
ENSG00000005187	ACSM3	38.0	42.0	27.0	6.0	21.0	5.0
ENSG00000005189	REXO5	5.0	2.0	6.0	4.0	3.0	12.0
ENSG00000005194	CIAPIN1	9.0	16.0	23.0	13.0	21.0	30.0
ENSG00000005206	SPPL2B	1.0	2.0	7.0	5.0	2.0	3.0
