Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[disease]	Characteristics[sex]	Characteristics[cell type]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[cell line]
F36P_BR1_TR1_RNA	ERS715248	SAMEA3367596	Homo sapiens	F-36P	acute myeloid leukemia 	male	  	cell	P-MTAB-47672	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	F36P_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	F36P_BR1_TR1_RNA_lib_ERX1078740	group1	sequencing assay	ERX1078740	ERR999704_1	16269_4_7.cram	ERR999704	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999704/ERR999704_1.fastq.gz	F-36P
F36P_BR1_TR1_RNA	ERS715248	SAMEA3367596	Homo sapiens	F-36P	acute myeloid leukemia 	male	  	cell	P-MTAB-47672	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	F36P_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	F36P_BR1_TR1_RNA_lib_ERX1078740	group1	sequencing assay	ERX1078740	ERR999704_2	16269_4_7.cram	ERR999704	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999704/ERR999704_2.fastq.gz	F-36P
F36P_BR1_TR1_RNA	ERS715248	SAMEA3367596	Homo sapiens	F-36P	acute myeloid leukemia 	male	  	cell	P-MTAB-47672	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	F36P_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	F36P_BR1_TR1_RNA_lib_ERX1103423	group1	sequencing assay	ERX1103423	ERR1024551_1	16493_1_7.cram	ERR1024551	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1024551/ERR1024551_1.fastq.gz	F-36P
F36P_BR1_TR1_RNA	ERS715248	SAMEA3367596	Homo sapiens	F-36P	acute myeloid leukemia 	male	  	cell	P-MTAB-47672	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	F36P_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	F36P_BR1_TR1_RNA_lib_ERX1103423	group1	sequencing assay	ERX1103423	ERR1024551_2	16493_1_7.cram	ERR1024551	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1024551/ERR1024551_2.fastq.gz	F-36P
F36P_BR2_TR1_RNA	ERS715249	SAMEA3367597	Homo sapiens	F-36P	acute myeloid leukemia 	male	  	cell	P-MTAB-47672	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	F36P_BR2_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	F36P_BR2_TR1_RNA_lib_ERX1078741	group2	sequencing assay	ERX1078741	ERR999705_1	16269_4_8.cram	ERR999705	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999705/ERR999705_1.fastq.gz	F-36P
F36P_BR2_TR1_RNA	ERS715249	SAMEA3367597	Homo sapiens	F-36P	acute myeloid leukemia 	male	  	cell	P-MTAB-47672	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	F36P_BR2_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	F36P_BR2_TR1_RNA_lib_ERX1078741	group2	sequencing assay	ERX1078741	ERR999705_2	16269_4_8.cram	ERR999705	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999705/ERR999705_2.fastq.gz	F-36P
F36P_BR2_TR1_RNA	ERS715249	SAMEA3367597	Homo sapiens	F-36P	acute myeloid leukemia 	male	  	cell	P-MTAB-47672	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	F36P_BR2_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	F36P_BR2_TR1_RNA_lib_ERX1103424	group2	sequencing assay	ERX1103424	ERR1024552_1	16493_1_8.cram	ERR1024552	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1024552/ERR1024552_1.fastq.gz	F-36P
F36P_BR2_TR1_RNA	ERS715249	SAMEA3367597	Homo sapiens	F-36P	acute myeloid leukemia 	male	  	cell	P-MTAB-47672	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	F36P_BR2_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	F36P_BR2_TR1_RNA_lib_ERX1103424	group2	sequencing assay	ERX1103424	ERR1024552_2	16493_1_8.cram	ERR1024552	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1024552/ERR1024552_2.fastq.gz	F-36P
HEL9217_BR1_TR1_RNA	ERS715247	SAMEA3367595	Homo sapiens	HEL9217	acute erythroleukemia	male	erythroblast	cell	P-MTAB-47669	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	HEL9217_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	HEL9217_BR1_TR1_RNA_lib_ERX1078739	group3	sequencing assay	ERX1078739	ERR999703_1	16269_4_6.cram	ERR999703	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999703/ERR999703_1.fastq.gz	HEL9217
HEL9217_BR1_TR1_RNA	ERS715247	SAMEA3367595	Homo sapiens	HEL9217	acute erythroleukemia	male	erythroblast	cell	P-MTAB-47669	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	HEL9217_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	HEL9217_BR1_TR1_RNA_lib_ERX1078739	group3	sequencing assay	ERX1078739	ERR999703_2	16269_4_6.cram	ERR999703	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999703/ERR999703_2.fastq.gz	HEL9217
HEL9217_BR1_TR1_RNA	ERS715247	SAMEA3367595	Homo sapiens	HEL9217	acute erythroleukemia	male	erythroblast	cell	P-MTAB-47669	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	HEL9217_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	HEL9217_BR1_TR1_RNA_lib_ERX1103422	group3	sequencing assay	ERX1103422	ERR1024550_1	16493_1_6.cram	ERR1024550	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1024550/ERR1024550_1.fastq.gz	HEL9217
HEL9217_BR1_TR1_RNA	ERS715247	SAMEA3367595	Homo sapiens	HEL9217	acute erythroleukemia	male	erythroblast	cell	P-MTAB-47669	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	HEL9217_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	HEL9217_BR1_TR1_RNA_lib_ERX1103422	group3	sequencing assay	ERX1103422	ERR1024550_2	16493_1_6.cram	ERR1024550	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1024550/ERR1024550_2.fastq.gz	HEL9217
K562_BR1_TR1_RNA	ERS715184	SAMEA3367447	Homo sapiens	K562	chronic myelogenous leukemia	female	  	cell	P-MTAB-47669	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	K562_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	K562_BR1_TR1_RNA_lib_ERX1078734	group4	sequencing assay	ERX1078734	ERR999698_1	16269_4_1.cram	ERR999698	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999698/ERR999698_1.fastq.gz	K562
K562_BR1_TR1_RNA	ERS715184	SAMEA3367447	Homo sapiens	K562	chronic myelogenous leukemia	female	  	cell	P-MTAB-47669	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	K562_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	K562_BR1_TR1_RNA_lib_ERX1078734	group4	sequencing assay	ERX1078734	ERR999698_2	16269_4_1.cram	ERR999698	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999698/ERR999698_2.fastq.gz	K562
