Gene ID	ERR1024545	ERR1024546	ERR1024547	ERR1024548	ERR1024549	ERR1024550	ERR1024551	ERR1024552	ERR2014658	ERR2014659	ERR999698	ERR999699	ERR999700	ERR999701	ERR999702	ERR999703	ERR999704	ERR999705
ENSG00000000003	4	6	2	10	7	315	9	6	58	72	5	4	1	16	3	282	2	5
ENSG00000000005	1	4	5	0	0	0	0	0	4	10	0	4	2	2	0	0	0	0
ENSG00000000419	1310	715	628	954	882	794	1336	1138	5262	7322	1094	660	545	829	764	666	1187	1025
ENSG00000000457	287	274	253	158	161	382	456	349	981	1241	300	284	268	139	139	328	391	258
ENSG00000000460	808	463	464	272	260	327	483	484	1562	2069	702	407	404	239	234	272	450	465
ENSG00000000938	0	3	0	1	0	12	0	1	3	7	0	3	0	1	0	8	0	1
ENSG00000000971	8889	2837	2537	2717	2232	2883	3918	2995	39	179	7936	2460	2279	2401	1960	2467	3552	2588
ENSG00000001036	3608	1903	1496	1316	1491	533	1406	1170	4046	6202	3165	1660	1262	1217	1221	427	1304	1070
ENSG00000001084	906	3032	2364	1420	1652	1943	1801	1399	6325	10279	751	2640	1949	1300	1434	1797	1557	1201
ENSG00000001167	673	1622	2051	1890	1742	2231	1522	1658	4334	6627	561	1395	1728	1668	1484	1840	1378	1412
ENSG00000001460	156	192	135	196	235	280	20	27	1124	1906	171	164	138	131	175	254	12	25
ENSG00000001461	645	855	876	1397	1619	2827	116	152	6158	8901	586	745	780	1184	1488	2376	98	136
ENSG00000001497	1677	1632	1201	1556	1220	828	1951	1927	6211	8364	1488	1380	1164	1392	1046	778	1632	1706
ENSG00000001561	0	324	295	616	710	720	50	52	2387	3522	0	278	253	539	567	627	37	43
ENSG00000001617	81	40	41	0	2	88	1	2	2	6	73	24	29	2	4	82	0	0
ENSG00000001626	0	1	1	3	0	7	19	19	0	0	1	1	0	3	3	9	11	17
ENSG00000001629	1281	787	942	802	957	835	1690	1641	2304	3001	1047	662	808	642	823	749	1452	1384
ENSG00000001630	353	143	125	131	221	65	320	164	361	580	314	123	99	117	190	47	239	121
ENSG00000001631	1152	693	830	425	471	727	1141	1074	3741	5020	1000	571	740	391	404	683	978	887
ENSG00000002016	162	118	146	111	130	563	445	464	503	827	150	99	126	120	114	459	372	392
