# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 FPKM in experiment E-MTAB-4729
# Selected columns: 3 (all)
# Timestamp: Tue, 15-Aug-2017 15:31:12
Gene ID	Gene Name	A549	BEAS-2B	NHBE
ENSG00000000003	TSPAN6	28.0	27.0	4.0
ENSG00000000419	DPM1	52.0	181.0	61.0
ENSG00000000457	SCYL3	1.0	3.0	2.0
ENSG00000000460	C1orf112	3.0	8.0	0.3
ENSG00000000971	CFH	5.0	2.0	5.0
ENSG00000001036	FUCA2	43.0	30.0	17.0
ENSG00000001084	GCLC	19.0	3.0	23.0
ENSG00000001167	NFYA	8.0	7.0	14.0
ENSG00000001460	STPG1	1.0	2.0	3.0
ENSG00000001461	NIPAL3	2.0	5.0	5.0
ENSG00000001497	LAS1L	13.0	7.0	5.0
ENSG00000001561	ENPP4	0.9	5.0	0.1
ENSG00000001617	SEMA3F	3.0	11.0	48.0
ENSG00000001629	ANKIB1	11.0	8.0	13.0
ENSG00000001630	CYP51A1	2.0	8.0	3.0
ENSG00000001631	KRIT1	6.0	7.0	6.0
ENSG00000002016	RAD52	3.0	3.0	1.0
ENSG00000002330	BAD	23.0	47.0	31.0
ENSG00000002549	LAP3	10.0	11.0	6.0
ENSG00000002586	CD99	40.0	34.0	43.0
ENSG00000002587	HS3ST1	0.1	0.1	0.8
ENSG00000002726	AOC1			0.1
ENSG00000002746	HECW1	1.0		
ENSG00000002822	MAD1L1	1.0	2.0	3.0
ENSG00000002834	LASP1	76.0	28.0	18.0
ENSG00000002919	SNX11	8.0	9.0	8.0
ENSG00000003056	M6PR	63.0	47.0	46.0
ENSG00000003096	KLHL13	0.3	1.0	0.4
ENSG00000003137	CYP26B1	2.0		0.1
ENSG00000003147	ICA1	0.3	2.0	2.0
ENSG00000003249	DBNDD1	11.0	2.0	2.0
ENSG00000003393	ALS2	4.0	4.0	4.0
ENSG00000003400	CASP10	1.0	2.0	1.0
ENSG00000003402	CFLAR	4.0	2.0	4.0
ENSG00000003436	TFPI	8.0	5.0	0.2
ENSG00000003509	NDUFAF7	7.0	4.0	3.0
ENSG00000003756	RBM5	3.0	5.0	4.0
ENSG00000003987	MTMR7		0.3	
ENSG00000003989	SLC7A2	3.0	5.0	1.0
ENSG00000004059	ARF5	33.0	82.0	57.0
ENSG00000004139	SARM1	2.0	0.2	
ENSG00000004142	POLDIP2	113.0	57.0	43.0
ENSG00000004399	PLXND1	7.0	0.6	0.1
ENSG00000004455	AK2	23.0	54.0	13.0
ENSG00000004468	CD38	3.0		
ENSG00000004478	FKBP4	45.0	23.0	29.0
ENSG00000004487	KDM1A	17.0	25.0	14.0
ENSG00000004534	RBM6	3.0	5.0	5.0
ENSG00000004660	CAMKK1	2.0	0.7	0.6
ENSG00000004700	RECQL	26.0	20.0	10.0
ENSG00000004766	VPS50	4.0	4.0	2.0
ENSG00000004776	HSPB6	0.1	0.2	0.3
ENSG00000004777	ARHGAP33	0.3	2.0	0.1
ENSG00000004779	NDUFAB1	75.0	115.0	47.0
ENSG00000004799	PDK4	12.0	1.0	0.1
ENSG00000004838	ZMYND10	0.1	0.4	
ENSG00000004848	ARX	0.7		
ENSG00000004864	SLC25A13	16.0	9.0	4.0
ENSG00000004866	ST7	4.0	2.0	3.0
ENSG00000004897	CDC27	24.0	16.0	9.0
ENSG00000004961	HCCS	29.0	26.0	10.0
ENSG00000004975	DVL2	8.0	13.0	11.0
ENSG00000005001	PRSS22	0.1	2.0	7.0
ENSG00000005007	UPF1	8.0	9.0	24.0
ENSG00000005020	SKAP2	13.0	5.0	4.0
ENSG00000005022	SLC25A5	375.0	786.0	414.0
ENSG00000005059	MCUB	5.0	16.0	2.0
ENSG00000005073	HOXA11	0.7		
ENSG00000005075	POLR2J	29.0	50.0	30.0
ENSG00000005100	DHX33	12.0	6.0	6.0
ENSG00000005108	THSD7A	2.0		
ENSG00000005156	LIG3	4.0	3.0	2.0
ENSG00000005175	RPAP3	14.0	6.0	5.0
ENSG00000005187	ACSM3	0.8	0.1	0.1
ENSG00000005189	REXO5	0.8	6.0	0.4
ENSG00000005194	CIAPIN1	25.0	19.0	15.0
ENSG00000005206	SPPL2B	2.0	3.0	2.0
ENSG00000005238	FAM214B	2.0	1.0	6.0
ENSG00000005243	COPZ2	5.0	7.0	5.0
ENSG00000005249	PRKAR2B	1.0	0.2	
ENSG00000005302	MSL3	7.0	6.0	4.0
ENSG00000005339	CREBBP	5.0	4.0	7.0
ENSG00000005379	TSPOAP1		0.1	
ENSG00000005421	PON1	0.6		
ENSG00000005436	GCFC2	5.0	6.0	2.0
ENSG00000005448	WDR54	12.0	23.0	3.0
ENSG00000005469	CROT	5.0	4.0	3.0
ENSG00000005483	KMT2E	5.0	5.0	7.0
ENSG00000005486	RHBDD2	26.0	11.0	16.0
ENSG00000005513	SOX8	0.1		
ENSG00000005700	IBTK	22.0	12.0	22.0
ENSG00000005801	ZNF195	5.0	5.0	2.0
ENSG00000005810	MYCBP2	3.0	3.0	3.0
ENSG00000005812	FBXL3	4.0	8.0	8.0
ENSG00000005844	ITGAL	0.1		
ENSG00000005882	PDK2	3.0	4.0	0.8
ENSG00000005884	ITGA3	70.0	43.0	96.0
ENSG00000005889	ZFX	4.0	4.0	3.0
ENSG00000005893	LAMP2	37.0	35.0	48.0
ENSG00000005961	ITGA2B	0.1	0.3	
ENSG00000005981	ASB4	0.8	0.1	
ENSG00000006007	GDE1	35.0	31.0	44.0
ENSG00000006015	C19orf60	5.0	4.0	4.0
ENSG00000006016	CRLF1	0.4	0.2	0.1
ENSG00000006025	OSBPL7	0.8	2.0	0.2
ENSG00000006042	TMEM98	9.0	4.0	2.0
ENSG00000006047	YBX2	0.1	0.3	0.2
ENSG00000006062	MAP3K14	11.0	3.0	1.0
ENSG00000006071	ABCC8	0.2		
ENSG00000006118	TMEM132A	12.0	4.0	6.0
ENSG00000006125	AP2B1	56.0	35.0	28.0
ENSG00000006194	ZNF263	6.0	3.0	4.0
ENSG00000006210	CX3CL1		0.4	0.1
