Gene ID	ERR1406029	ERR1406030	ERR1406031	ERR1406032	ERR2025910	ERR2025911	ERR2025912
ENSG00000000003	16.94	42.04	32.01	22.85	3.85	12.46	4.24
ENSG00000000005	0	0	0	0	0	0	0
ENSG00000000419	39.52	67.02	183.66	176.1	50.86	75.08	60
ENSG00000000457	1.16	1.76	3.56	2.24	1.25	1.99	2.07
ENSG00000000460	3.28	2.14	8.12	6.89	0.24	0.34	0.29
ENSG00000000938	0	0	0.03	0.01	0.01	0.05	0.03
ENSG00000000971	5.35	5.61	2.39	2.2	8.02	1.51	5.35
ENSG00000001036	42.62	43.68	30.02	29.61	21.61	13.19	17.49
ENSG00000001084	28.06	9.67	3.34	3.6	22.98	19.71	27.4
ENSG00000001167	8.74	7.71	7.28	7.67	13.83	6.4	15.58
ENSG00000001460	1.05	1.04	1.85	1.42	3.08	1.3	4.5
ENSG00000001461	2.02	2.07	5.13	4.12	3.25	4.31	5.81
ENSG00000001497	18.02	7.25	6.86	7.85	4.98	4	5.1
ENSG00000001561	0.53	1.17	5.54	3.83	0.07	0.13	0.33
ENSG00000001617	4.35	2.63	11.73	10.24	53.35	49.46	41.4
ENSG00000001626	0.05	0.02	0.01	0	0.01	0.03	0.01
ENSG00000001629	12.1	9.5	7.81	7.71	13.27	7.35	13.29
ENSG00000001630	2.43	1.65	6.62	8.67	3.01	3.51	2.71
ENSG00000001631	4.16	8.01	8.06	6.11	4.89	5.68	6.81
ENSG00000002016	2.71	2.78	2.69	2.36	1.07	1.29	1.39
ENSG00000002079	0.06	0.02	0	0.01	0.14	0.01	0.02
ENSG00000002330	21.44	25.05	49.83	45.28	33.14	27.45	30.92
ENSG00000002549	11.06	7.9	10.73	11.17	5.7	10.3	5.09
ENSG00000002586	38.53	39.79	36.02	32.28	57.79	33.44	42.14
ENSG00000002587	0.09	0.08	0.1	0.14	1.73	0.39	0.83
ENSG00000002726	0	0	0.01	0	0.04	0.1	0.39
ENSG00000002745	0	0	0.01	0	0	0	0
ENSG00000002746	1.32	0.63	0.04	0.03	0	0	0
ENSG00000002822	2.12	0.94	2.37	1.91	3.45	1.23	3.02
ENSG00000002834	102.57	37.31	23.22	32.14	22.69	11.76	17.67
ENSG00000002919	7.29	9.37	11.09	7.68	7.78	6.05	8.15
ENSG00000002933	0	0	0	0	0	0	0
ENSG00000003056	55.18	72.48	48.25	45.29	46.49	49.52	42.06
ENSG00000003096	0.22	0.31	1.12	1.1	0.33	0.38	0.52
ENSG00000003137	2.6	2.15	0.02	0	0.08	0.04	0.07
ENSG00000003147	0.18	0.46	2.29	1.52	2.36	2.25	2.51
ENSG00000003249	12.02	9.33	2.37	1.84	2.13	1.89	4.83
ENSG00000003393	4.41	3.97	4.14	4.07	4.35	2.19	4.5
ENSG00000003400	1.26	1.24	1.89	1.51	1.21	1.03	1.51
ENSG00000003402	3.59	4.07	2.35	2.46	3.66	3.86	4.75
ENSG00000003436	4.33	12.64	4.6	5.99	0.14	0.33	0.08
ENSG00000003509	6.16	8.07	4	3.54	3.23	4.36	3.64
ENSG00000003756	3.04	2.12	5.72	4.79	4.26	3.37	5.6
ENSG00000003987	0	0	0.32	0.23	0	0	0
ENSG00000003989	2.68	2.8	4.58	5.96	1.15	0.16	2.38
ENSG00000004059	28.69	39.35	86.29	75.92	51.22	69.91	55.84
ENSG00000004139	2.19	1.12	0.27	0.22	0.02	0.1	0.05
ENSG00000004142	108.54	111.97	57.87	57.02	36.73	60.7	42.44
ENSG00000004399	10.78	3.98	0.63	0.56	0.09	0.06	0.21
ENSG00000004455	20.7	25.98	49.74	58.29	10.67	48.03	13.85
ENSG00000004468	4.15	1.29	0.01	0.02	0	0.01	0
ENSG00000004478	53.64	34.01	18.61	27.35	29.09	35.74	27.95
ENSG00000004487	19.94	14.08	24.66	25.76	13.35	15.49	14.49
ENSG00000004534	3.53	2.53	5.24	5.18	5.79	4.38	5.5
ENSG00000004660	2.42	1.09	0.74	0.59	0.55	1.23	0.52
ENSG00000004700	28.55	23.89	19.12	20.51	12.02	7.17	10.09
ENSG00000004766	2.54	4.33	4.21	3.92	2.34	3	2.46
ENSG00000004776	0.2	0.08	0.39	0.08	0.25	0.66	0.32
ENSG00000004777	0.53	0.07	2.08	1.06	0.08	0.03	0.07
ENSG00000004779	42.54	115.75	108.07	123.39	38.43	102.41	45.44
ENSG00000004799	12.42	11.35	2.25	0.8	0.06	0.13	0.12
ENSG00000004809	0	0	0	0.01	0	0	0
ENSG00000004838	0.08	0.07	0.55	0.26	0.03	0.02	0.03
ENSG00000004846	0.02	0.01	0.03	0.01	0.01	0	0
ENSG00000004848	0.9	0.45	0	0	0	0.01	0
ENSG00000004864	19.92	11.47	8.36	9.09	4.91	3.33	4.81
ENSG00000004866	4.06	3.68	2.45	2.12	2.98	1.93	3.54
ENSG00000004897	29.18	17.82	15.76	15.77	8.81	9.25	9.25
ENSG00000004939	0.02	0.01	0.06	0.03	0	0.01	0.01
ENSG00000004948	0.01	0.02	0	0.01	0	0	0
ENSG00000004961	26.32	31.42	25.56	26.87	10.19	21.87	9.8
ENSG00000004975	8.44	7.74	14.82	11.68	11.19	6.98	11.34
ENSG00000005001	0.01	0.26	2.43	1.26	7.42	5.68	8.18
ENSG00000005007	11.45	4.32	9.07	9.77	24.38	7.99	24.21
ENSG00000005020	9.9	16.43	6.04	4.59	3.07	4.94	4.34
ENSG00000005022	319.1	420.71	836.23	741.11	270.3	840.62	380.7
ENSG00000005059	3.96	6.31	17.19	14.86	1.84	2.47	1.2
ENSG00000005073	0.53	0.94	0.09	0.01	0	0	0
ENSG00000005075	20.73	37.99	52.94	46.42	26.1	34.36	29.43
ENSG00000005100	15.16	8.36	5.83	6.41	5.99	4.74	6.29
ENSG00000005102	0	0	0.01	0.01	0	0	0
ENSG00000005108	3.82	1.16	0	0	0.12	0.01	0.03
ENSG00000005156	4.05	3.56	2.37	2.6	1.96	2.46	2.55
ENSG00000005175	14.99	13.7	6.62	5.68	4.83	4.27	5.11
ENSG00000005187	1.07	0.58	0.16	0.1	0.1	0.09	0.09
ENSG00000005189	1.14	0.5	7.47	4.53	0.27	0.66	0.38
ENSG00000005194	23.75	27.06	20.68	17.58	15.08	17.42	14.27
ENSG00000005206	1.92	1.22	2.97	2.1	1.74	1.83	1.98
ENSG00000005238	2.5	2.37	1.41	1.38	8.83	2.21	6.29
ENSG00000005243	4.26	5.49	8.39	5.36	4.66	6.3	5.3
ENSG00000005249	1.22	0.88	0.17	0.13	0.02	0.01	0.08
ENSG00000005302	5.34	8.36	6.04	4.98	4.02	3.88	3.76
ENSG00000005339	6.53	3.38	5.07	3.71	7.13	2.25	7.54
ENSG00000005379	0	0	0.19	0.05	0.01	0.02	0.02
ENSG00000005381	0	0	0.01	0	0	0	0
ENSG00000005421	0.37	0.82	0.03	0	0	0	0
ENSG00000005436	4.38	4.71	5.98	5.2	1.9	3.55	2.5
ENSG00000005448	11.67	12.27	24.33	21.91	3.14	5.31	3.14
ENSG00000005469	3.77	6.24	4.85	3.39	1.84	7.01	3.57
ENSG00000005471	0	0	0	0.01	0	0	0
ENSG00000005483	6.39	3.76	4.71	4.46	6.99	4.59	7.55
ENSG00000005486	34.09	16.56	13.42	8.88	19.53	15.77	15.26
ENSG00000005513	0.1	0.1	0	0.01	0	0	0
ENSG00000005700	18.31	25.25	12.81	10.71	22.57	14.45	22.28
ENSG00000005801	4.42	5.8	5.53	4.57	2	4.57	2.37
ENSG00000005810	4	2.08	3.46	3.52	2.46	1.27	3.29
ENSG00000005812	4.27	4.52	9.26	7.26	7.65	8.48	7.38
ENSG00000005844	0.07	0.05	0.02	0.01	0	0.01	0.02
ENSG00000005882	3.33	2.36	4.56	3.13	0.48	0.97	0.88
ENSG00000005884	76.29	59.11	36.58	48.66	174.43	41.07	94.28
ENSG00000005889	4.28	3.87	4.53	3.75	2.02	3.28	3.17
ENSG00000005893	30.09	46.43	36.87	32.97	47.57	73.39	43.88
ENSG00000005961	0.15	0.13	0.39	0.16	0.01	0.02	0
ENSG00000005981	0.79	0.84	0.07	0.06	0.01	0.03	0.03
ENSG00000006007	32.16	38.57	34.76	26.9	48.51	39.87	42.58
ENSG00000006015	4.67	4.85	4.62	3.92	4.17	6.97	3.94
ENSG00000006016	0.55	0.32	0.21	0.14	0.26	0.09	0.14
ENSG00000006025	0.75	0.76	2.12	1.75	0.18	0.42	0.14
ENSG00000006042	7.02	10.51	4.15	3.29	1.98	2.84	2.22
ENSG00000006047	0.1	0.08	0.44	0.17	0.48	0.17	0.15
ENSG00000006059	0	0	0	0	0	0.04	0.03
ENSG00000006062	15.95	6.3	3.13	2.56	0.67	0.94	1.05
ENSG00000006071	0.16	0.14	0	0	0	0	0
ENSG00000006116	0	0	0	0	0	0	0
ENSG00000006118	16.75	7.24	4.07	4.01	5.94	11.4	3.33
ENSG00000006125	69.92	36.36	30.94	38	27.42	12.9	27.98
ENSG00000006128	0	0.01	0	0	0.05	0	0.02
ENSG00000006194	5.62	6.29	2.89	2.4	3.58	3.53	4.46
ENSG00000006210	0.03	0.03	0.41	0.33	0.06	0.34	0.04
ENSG00000006282	18.51	14.66	3.88	2.72	5.72	5.58	5.19
ENSG00000006283	3.52	1.1	0.01	0.01	0	0	0
ENSG00000006327	97.14	132.9	45	63.13	132.61	86.08	102.78
ENSG00000006377	0	0.01	0	0	0	0	0.01
ENSG00000006432	3.19	1.27	1.36	1.46	4.28	1.2	4.52
ENSG00000006451	11.08	11.61	24.96	27.29	26.87	25.38	24.29
ENSG00000006453	20.89	20.75	10.37	8.67	29.3	18.71	27.64
ENSG00000006459	1.09	1.14	1.02	1.13	8.92	4.32	7.92
ENSG00000006468	0.27	0.24	0.54	0.42	0.12	0.01	0.02
