Gene ID	ERR1406029	ERR1406030	ERR1406031	ERR1406032	ERR2025910	ERR2025911	ERR2025912
ENSG00000000003	6165	9901	7194	6271	722	2422	881
ENSG00000000005	0	0	0	0	0	0	0
ENSG00000000419	3828	4201	10987	12865	2539	3885	3321
ENSG00000000457	642	628	1216	932	356	588	653
ENSG00000000460	1570	662	2401	2490	58	87	79
ENSG00000000938	0	0	6	3	2	7	5
ENSG00000000971	3498	2372	965	1084	2703	527	1998
ENSG00000001036	9553	6335	4155	5005	2496	1580	2240
ENSG00000001084	19058	4252	1403	1843	8043	7153	10634
ENSG00000001167	2673	1526	1376	1770	2180	1045	2723
ENSG00000001460	717	458	782	734	1085	473	1756
ENSG00000001461	1527	1012	2392	2343	1264	1737	2504
ENSG00000001497	8084	2104	1899	2654	1151	958	1308
ENSG00000001561	196	282	1277	1077	14	26	70
ENSG00000001617	1683	659	2805	2990	10650	10234	9164
ENSG00000001626	33	9	4	0	3	11	4
ENSG00000001629	6924	3518	2759	3326	3914	2247	4345
ENSG00000001630	794	349	1337	2137	507	613	507
ENSG00000001631	2070	2581	2479	2296	1254	1511	1937
ENSG00000002016	911	604	559	599	185	232	268
ENSG00000002079	33	7	0	5	37	4	6
ENSG00000002330	2939	2222	4218	4681	2341	2010	2422
ENSG00000002549	3360	1552	2013	2559	893	1672	884
ENSG00000002586	10154	6786	5863	6417	7850	4708	6347
ENSG00000002587	62	34	41	68	585	138	309
ENSG00000002726	1	0	1	0	6	16	69
ENSG00000002745	1	0	1	0	0	0	0
ENSG00000002746	1479	454	29	25	2	1	3
ENSG00000002822	1229	352	850	835	1033	380	1003
ENSG00000002834	58119	13681	8125	13737	6628	3561	5723
ENSG00000002919	2109	1755	1982	1677	1161	935	1347
ENSG00000002933	0	0	0	0	0	0	0
ENSG00000003056	16724	14216	9033	10354	7263	8019	7286
ENSG00000003096	125	114	387	465	95	114	168
ENSG00000003137	1046	561	5	0	17	8	15
ENSG00000003147	72	116	555	449	478	471	562
ENSG00000003249	4623	2322	563	534	422	389	1061
ENSG00000003393	3679	2140	2131	2559	1870	977	2144
ENSG00000003400	768	491	710	696	381	334	526
ENSG00000003402	6499	4762	2625	3359	3414	3732	4906
ENSG00000003436	4070	7690	2672	4249	68	164	41
ENSG00000003509	1804	1531	724	782	488	682	609
ENSG00000003756	2528	1140	2941	3006	1827	1497	2663
ENSG00000003987	0	0	89	79	0	0	1
ENSG00000003989	1702	1150	1796	2853	377	54	864
ENSG00000004059	4307	3823	8002	8598	3964	5608	4791
ENSG00000004139	1953	645	149	149	9	47	25
ENSG00000004142	18475	12333	6083	7320	3222	5520	4128
ENSG00000004399	8426	2013	306	332	36	25	96
ENSG00000004455	9512	7727	14118	20207	2528	11793	3637
ENSG00000004468	2283	459	3	8	0	3	0
ENSG00000004478	22296	9149	4778	8576	6233	7937	6639
ENSG00000004487	8699	3974	6643	8473	3000	3610	3611
ENSG00000004534	2066	960	1895	2289	1749	1370	1843
ENSG00000004660	1439	419	273	263	168	390	176
ENSG00000004700	8656	4688	3581	4689	1878	1162	1748
ENSG00000004766	1927	2124	1972	2242	915	1215	1068
ENSG00000004776	27	7	33	8	18	49	25
ENSG00000004777	224	19	541	338	18	6	17
ENSG00000004779	5462	9618	8570	11949	2543	7025	3334
ENSG00000004799	4504	2663	503	220	12	25	24
ENSG00000004809	0	0	0	2	0	0	0
ENSG00000004838	27	15	109	63	5	3	6
ENSG00000004846	16	4	13	8	4	1	1
ENSG00000004848	208	67	0	0	0	1	0
ENSG00000004864	5930	2209	1538	2042	754	529	819
ENSG00000004866	2196	1287	819	866	832	558	1096
ENSG00000004897	15980	6314	5330	6513	2487	2706	2894
ENSG00000004939	8	2	16	10	1	3	3
ENSG00000004948	4	4	0	2	0	0	0
ENSG00000004961	4932	3810	2958	3797	984	2189	1049
ENSG00000004975	3625	2151	3930	3782	2477	1601	2782
ENSG00000005001	1	32	287	182	733	581	895
ENSG00000005007	7902	1930	3867	5087	8671	2945	9550
ENSG00000005020	4386	4709	1653	1535	700	1168	1098
ENSG00000005022	38411	32772	62168	67286	16770	54060	26189
ENSG00000005059	1133	1168	3039	3208	272	377	197
ENSG00000005073	98	113	10	2	0	0	0
ENSG00000005075	2254	2673	3555	3807	1463	1996	1829
ENSG00000005100	7142	2550	1696	2278	1454	1194	1694
ENSG00000005102	0	0	1	2	0	0	0
ENSG00000005108	3349	660	0	1	53	5	15
ENSG00000005156	4200	2390	1516	2031	1047	1361	1509
ENSG00000005175	6473	3829	1765	1849	1075	984	1260
ENSG00000005187	669	235	62	49	31	29	33
ENSG00000005189	375	106	1524	1128	46	117	72
ENSG00000005194	6688	4931	3596	3734	2188	2621	2296
ENSG00000005206	1101	453	1051	906	513	560	648
ENSG00000005238	1286	789	447	536	2340	608	1850
ENSG00000005243	633	528	770	601	357	500	450
ENSG00000005249	423	197	36	33	3	1	16
ENSG00000005302	2783	2819	1944	1959	1080	1080	1121
ENSG00000005339	7891	2642	3783	3383	4441	1456	5211
ENSG00000005379	4	1	106	35	3	10	10
ENSG00000005381	0	0	1	0	0	0	0
ENSG00000005421	85	120	4	0	0	0	0
ENSG00000005436	1920	1336	1619	1719	430	831	627
ENSG00000005448	2679	1823	3449	3792	372	651	412
ENSG00000005469	1506	1613	1196	1022	378	1496	816
ENSG00000005471	1	0	1	3	0	1	0
ENSG00000005483	4737	1804	2154	2492	2671	1817	3196
ENSG00000005486	6677	2099	1624	1312	1972	1650	1708
ENSG00000005513	36	24	0	2	0	0	1
ENSG00000005700	12814	11439	5539	5653	8141	5403	8913
ENSG00000005801	2026	1719	1565	1578	472	1119	621
ENSG00000005810	5121	1719	2734	3398	1622	869	2407
ENSG00000005812	2427	1664	3252	3113	2241	2574	2396
ENSG00000005844	38	16	5	5	0	3	5
ENSG00000005882	1466	671	1239	1039	109	228	220
ENSG00000005884	60010	30089	17770	28871	70716	17258	42380
ENSG00000005889	3104	1814	2027	2053	754	1270	1312
ENSG00000005893	13343	13323	10097	11028	10873	17388	11120
ENSG00000005961	66	37	106	54	3	5	1
ENSG00000005981	293	200	15	16	1	5	6
ENSG00000006007	11398	8845	7608	7190	8861	7548	8623
ENSG00000006015	1263	848	772	800	581	1007	609
ENSG00000006016	134	50	31	26	32	11	20
ENSG00000006025	398	259	691	695	50	118	43
ENSG00000006042	2923	2832	1068	1034	425	632	528
ENSG00000006047	38	20	101	47	91	34	31
ENSG00000006059	0	0	0	0	0	2	2
ENSG00000006062	7489	1915	909	905	163	237	282
ENSG00000006071	85	48	0	0	0	0	0
ENSG00000006116	0	0	0	0	0	0	0
ENSG00000006118	9773	2733	1466	1766	1787	3555	1109
ENSG00000006125	42569	14325	11633	17450	8604	4195	9737
ENSG00000006128	0	1	0	0	4	0	2
ENSG00000006194	3132	2267	994	1008	1028	1050	1420
ENSG00000006210	13	8	122	121	16	86	10
ENSG00000006282	7927	4062	1025	879	1262	1276	1271
ENSG00000006283	2739	556	3	5	1	0	0
ENSG00000006327	14406	12754	4122	7061	10136	6820	8711
ENSG00000006377	0	2	0	0	0	0	1
ENSG00000006432	3171	817	835	1098	2194	638	2567
ENSG00000006451	3258	2210	4534	6053	4073	3988	4082
ENSG00000006453	8045	5170	2467	2518	5815	3849	6081
ENSG00000006459	826	556	479	644	3481	1748	3427
ENSG00000006468	207	118	259	245	46	3	10
ENSG00000006530	3510	1501	1535	1694	1143	917	1493
ENSG00000006534	17024	3318	1448	1166	160	167	225
ENSG00000006555	0	0	226	205	572	509	725
ENSG00000006576	2825	1493	2899	2931	731	1299	1013
ENSG00000006606	181	84	4	4	5	7	4
ENSG00000006607	3862	1027	1582	1951	1638	1011	1881
ENSG00000006611	735	250	0	0	0	0	0
ENSG00000006625	2933	1420	3016	3195	1360	1855	1238
ENSG00000006634	2862	1259	4180	5386	317	873	411
ENSG00000006638	64	22	46	25	5	6	0
ENSG00000006652	6657	11944	12955	10537	5391	7570	5941
ENSG00000006659	0	0	0	0	0	0	0
ENSG00000006695	2129	1208	933	1094	770	707	1070
ENSG00000006704	2465	1232	2415	2589	2125	1982	2689
ENSG00000006712	7476	4612	3390	3786	2818	1738	2812
ENSG00000006715	4355	4581	2546	2567	1597	1809	1992
ENSG00000006740	925	596	114	73	168	138	498
ENSG00000006744	13966	4705	2113	2948	1907	2519	2084
ENSG00000006747	39	10	467	385	13	24	10
ENSG00000006756	3531	1410	359	299	1301	1040	1960
ENSG00000006757	1201	1408	1355	1225	801	2788	1933
ENSG00000006788	1	0	0	0	0	0	0
ENSG00000006831	11566	5241	6335	7775	6621	4830	7743
ENSG00000006837	78	278	362	233	19	89	48
ENSG00000007001	1	3	1	1	0	9	4
ENSG00000007038	5	4	260	270	44	64	87
ENSG00000007047	1219	613	1499	1555	2915	1535	2821
ENSG00000007062	7	10	3	3	12	5	10
ENSG00000007080	3236	2200	2143	2801	3316	2043	3744
ENSG00000007129	0	0	0	0	0	0	0
ENSG00000007168	20902	11376	8970	10652	6843	6880	8941
ENSG00000007171	27	6	0	0	0	0	1
ENSG00000007174	6	1	2	5	7	50	19
ENSG00000007202	30814	10069	6068	9064	7441	4360	8573
ENSG00000007216	5	0	0	0	0	0	0
ENSG00000007237	169	125	10	10	58	25	209
ENSG00000007255	908	1298	681	462	262	991	435
ENSG00000007264	14	17	0	0	0	3	0
ENSG00000007306	17	9	0	0	41	114	195
ENSG00000007312	3	1	23	16	0	1	0
ENSG00000007314	34	21	1	0	25	3	35
ENSG00000007341	676	461	1239	1169	231	381	400
ENSG00000007350	0	0	0	0	0	0	0
ENSG00000007372	159	164	4	1	1	0	0
ENSG00000007376	2414	1076	680	816	755	835	881
ENSG00000007384	1347	443	848	886	1343	1025	1604
ENSG00000007392	3116	2640	1623	1797	509	679	720
ENSG00000007402	82	60	18	8	5	3	1
ENSG00000007516	37	23	31	19	38	14	42
ENSG00000007520	3744	2071	1425	1680	2855	2334	2886
ENSG00000007541	3528	1126	1182	1162	1099	847	1271
ENSG00000007545	1062	349	499	617	465	325	672
ENSG00000007866	666	306	1559	1657	2288	1417	2663
ENSG00000007908	0	0	0	0	0	0	0
ENSG00000007923	4129	1450	1837	2346	1166	1278	1496
ENSG00000007933	2	1	10	4	2	1	3
ENSG00000007944	428	350	338	248	259	207	459
ENSG00000007952	28	28	0	0	0	0	0
ENSG00000007968	776	34	1212	760	1	1	3
ENSG00000008018	7835	7095	12852	20138	2671	6357	3289
ENSG00000008056	13	7	67	42	909	92	779
ENSG00000008083	2018	747	795	1400	3125	1552	4224
ENSG00000008086	3796	1298	400	448	908	242	960
ENSG00000008118	8	0	0	0	0	0	0
ENSG00000008128	389	167	320	397	189	134	213
ENSG00000008130	3633	2023	2507	2772	2215	2668	2982
ENSG00000008196	0	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0	0
ENSG00000008226	10	11	6	3	7	9	8
ENSG00000008256	3965	1883	5457	8360	1438	995	1896
ENSG00000008277	71	59	179	167	3	0	2
ENSG00000008282	10265	5516	5143	6144	7596	8741	9806
ENSG00000008283	3128	1306	1774	1897	1851	1162	2583
ENSG00000008294	14062	4398	4848	6711	5399	2830	6035
ENSG00000008300	1014	402	563	640	113	68	171
ENSG00000008311	8	7	1169	1367	239	250	217
ENSG00000008323	29	7	342	249	805	773	1246
ENSG00000008324	667	877	3198	3789	513	1230	578
ENSG00000008382	564	260	371	410	217	263	266
ENSG00000008394	39979	38860	13724	25902	10133	27390	13852
ENSG00000008405	2084	2007	2421	2356	1153	977	1494
ENSG00000008438	0	0	0	0	0	0	0
ENSG00000008441	747	373	1184	1290	1342	1332	1778
ENSG00000008513	1534	482	414	609	3643	1085	2351
ENSG00000008516	37	27	48	56	21	25	40
ENSG00000008517	316	622	659	1593	466	40	100
ENSG00000008710	4014	1607	2339	2640	5671	1577	7358
ENSG00000008735	443	226	70	37	51	28	95
ENSG00000008838	5247	2104	2000	2912	1555	1118	1601
ENSG00000008853	3813	2076	1745	1998	543	690	973
ENSG00000008869	2832	1432	1191	1520	930	702	1175
