Gene ID	ERR2618735	ERR2618736	ERR2618737	ERR2618738	ERR2618739	ERR2618740	ERR2618741	ERR2618742	ERR2618743	ERR2618744	ERR2618745	ERR2618746
ENSG00000000003	0.04	0.05	0.06	0.04	0.03	0.03	0.02	0.03	0.02	0.02	0.02	0.01
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	59.93	55.23	39.03	34.8	49.51	43.38	35.3	36.25	45.26	46.69	49.66	51
ENSG00000000457	5.34	5.3	2.06	2.26	2.98	2.42	2.1	1.95	2.16	2.17	3.09	2.98
ENSG00000000460	4.65	4.56	8.08	7.98	4.89	3.84	2.77	2.97	2.98	3.03	6.12	6.29
ENSG00000000938	8.57	8.5	17.67	17.12	7.98	42.23	76.43	75.07	0.85	1.06	0.16	0.15
ENSG00000000971	0.09	0.07	0	0	0	0	0	0	0	0	0.01	0.01
ENSG00000001036	10.22	10.97	0	0	0.01	0.01	0	0.02	0	0.02	0.01	0.03
ENSG00000001084	4.9	4.77	8.91	8.56	5.94	5.86	5.41	5.24	5.43	5.91	6.02	6.18
ENSG00000001167	18.97	18.36	16.48	16.88	16.23	15.33	15.4	15.09	30.73	29.08	25.94	25.68
ENSG00000001460	0.23	0.3	0.57	0.58	0.56	0.95	1.51	1.35	1.8	1.82	1.18	1.23
ENSG00000001461	2.23	2.31	4.3	4.31	1.17	2.58	4.05	4.14	5.88	5.39	3.6	3.62
ENSG00000001497	19.45	18.61	15.21	12.81	14.28	13.49	12.41	12.52	12.68	12.23	32.67	32.93
ENSG00000001561	10.59	10.16	6.62	6.78	2.96	3.63	3.56	3.39	8.19	7.59	3.29	2.97
ENSG00000001617	0.04	0.02	0.25	0.3	0.31	0.16	0.03	0.03	0.04	0.04	0.13	0.13
ENSG00000001626	0.01	0	0.02	0.01	0	0	0	0	0	0	0	0
ENSG00000001629	13.57	12.79	9.07	9.34	7.66	6.99	7.25	6.96	12.17	11.38	9	9.17
ENSG00000001630	5.59	4.93	6.37	6.23	4.04	2.85	2.46	2.46	1.17	1.11	2.15	1.87
ENSG00000001631	8.16	7.74	6	5.43	9.31	6.86	4.61	4.25	11.66	11.32	11.76	11.22
ENSG00000002016	1.63	1.8	2.56	2.84	2.13	2	2.12	2.32	2.12	2.13	2.78	2.52
ENSG00000002079	0	0	0.03	0.05	0.03	0.01	0.01	0	0.02	0.03	0.11	0.09
ENSG00000002330	8.26	8.58	6.86	6.39	12.53	10.51	9.35	9.31	11.63	11.62	20.61	19.64
