Gene ID	ERR2618735	ERR2618736	ERR2618737	ERR2618738	ERR2618739	ERR2618740	ERR2618741	ERR2618742	ERR2618743	ERR2618744	ERR2618745	ERR2618746
ENSG00000000003	8	9	11	7	6	5	4	6	6	4	5	2
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	3087	2771	1890	1578	2373	1945	1524	2058	2897	2959	3164	2949
ENSG00000000457	1569	1517	570	585	815	618	516	630	787	785	1124	984
ENSG00000000460	1185	1130	1934	1789	1158	851	592	834	944	948	1926	1799
ENSG00000000938	1270	1228	2463	2234	1101	5450	9497	12267	157	194	30	25
ENSG00000000971	30	24	0	0	1	1	0	1	0	0	3	3
ENSG00000001036	1218	1274	0	0	1	1	0	2	0	3	2	4
ENSG00000001084	1769	1679	3027	2723	1998	1841	1637	2086	2436	2625	2691	2504
ENSG00000001167	3086	2908	2520	2416	2457	2171	2099	2706	6210	5819	5218	4688
ENSG00000001460	85	107	195	184	188	301	461	540	811	813	529	503
ENSG00000001461	895	905	1621	1523	437	900	1362	1833	2930	2662	1786	1632
ENSG00000001497	4639	4325	3410	2689	3169	2800	2480	3291	3759	3590	9638	8818
ENSG00000001561	2102	1965	1235	1184	547	628	593	741	2020	1853	807	662
ENSG00000001617	8	5	49	55	60	28	5	6	10	11	33	31
ENSG00000001626	2	1	6	4	0	0	0	1	0	0	1	0
ENSG00000001629	4129	3790	2595	2502	2168	1851	1849	2335	4600	4262	3386	3133
ENSG00000001630	972	835	1042	954	654	432	359	471	252	238	463	365
ENSG00000001631	2161	1997	1493	1265	2295	1582	1024	1240	3836	3689	3850	3335
ENSG00000002016	291	313	431	447	355	311	318	457	472	468	614	505
ENSG00000002079	1	1	7	13	8	3	3	0	8	10	36	26
ENSG00000002330	602	609	470	410	850	667	571	748	1053	1042	1858	1607
ENSG00000002549	10119	9581	10985	9313	5638	4517	3542	4572	5592	5548	3962	3698
ENSG00000002586	3906	3861	1324	1280	438	904	1389	1729	290	294	1709	1595
ENSG00000002587	9	5	0	3	14	3	1	1	2	3	385	354
ENSG00000002726	4	3	6	6	4	2	3	0	0	0	0	0
ENSG00000002745	1	5	2	6	10	5	4	2	0	2	770	729
ENSG00000002746	5	2	2	3	1	0	0	1	5	3	676	616
ENSG00000002822	1299	1363	1006	976	2326	1472	814	1047	2108	2041	2724	2365
ENSG00000002834	9098	9023	9926	9212	8196	7597	7327	9472	11928	11713	8007	7241
ENSG00000002919	2192	2305	757	656	796	1054	1535	2031	1031	1031	2093	1952
ENSG00000002933	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056	5063	4637	3904	3657	3075	3670	4333	5504	4053	4116	6261	5695
ENSG00000003096	71	70	0	2	1	3	2	1	0	0	17	6
ENSG00000003137	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003147	95	96	1	2	180	91	28	38	2	1	15	16
ENSG00000003249	486	515	3	3	359	200	44	61	265	257	1	1
ENSG00000003393	835	797	490	489	1039	761	503	666	586	603	543	507
ENSG00000003400	890	833	61	68	97	51	11	5	21	20	36	23
ENSG00000003402	6694	6432	804	794	635	936	1247	1603	6747	6290	786	650
ENSG00000003436	341	361	76	80	51	38	44	69	142	122	71	62
ENSG00000003509	738	693	865	734	1046	937	711	1040	582	590	683	596
ENSG00000003756	1434	1423	2434	2467	1766	1763	2071	2621	5069	4867	2892	2536
ENSG00000003987	27	29	21	11	17	30	18	25	59	54	73	52
ENSG00000003989	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004059	2774	2830	3735	3351	3978	2901	2346	3078	5668	5817	7522	6845
ENSG00000004139	523	474	74	81	24	378	688	895	614	605	1116	1045
ENSG00000004142	6842	6911	7302	6567	6661	5944	5687	7733	8870	9197	8327	7523
ENSG00000004399	23	39	374	392	1977	895	2	10	421	393	663	571
ENSG00000004455	13081	12687	11435	10183	15656	14251	13223	16940	9254	9172	12906	12179
ENSG00000004468	521	513	25637	23622	8198	12118	14498	19564	28252	26954	19026	16863
ENSG00000004478	8751	8235	5559	4937	10830	10735	12043	15933	4382	4185	16930	15489
ENSG00000004487	8612	8325	5210	4778	9074	9515	9984	13167	5760	5563	14476	13341
ENSG00000004534	1438	1283	6335	5590	1820	2707	3846	5007	5354	5012	4478	4032
ENSG00000004660	15	21	200	200	104	140	204	239	15	8	8	11
ENSG00000004700	3551	3256	2867	2388	2460	2524	2377	3097	2707	2657	6194	5724
ENSG00000004766	1335	1233	810	755	1259	996	781	1005	2254	2055	1789	1712
ENSG00000004776	9	8	15	21	12	17	20	18	41	31	5	5
ENSG00000004777	382	328	372	327	297	247	208	246	1510	1360	510	458
ENSG00000004779	3719	3733	3041	2770	4186	3206	2710	3643	3946	4030	4229	3985
ENSG00000004799	0	0	0	0	2	0	0	0	0	0	1	1
ENSG00000004809	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000004838	9	12	22	18	9	15	26	28	41	42	21	15
ENSG00000004846	4	3	0	7	2	2	2	12	5	3	7	5
ENSG00000004848	3	1	0	0	3	1	0	1	2	0	22	11
ENSG00000004864	1577	1532	1352	1283	2891	2155	1368	1972	1585	1608	1291	1100
ENSG00000004866	2612	2516	833	841	1069	972	976	1286	916	1010	1089	958
ENSG00000004897	9585	9010	9019	8363	7423	7976	7871	10603	7697	7472	11830	10418
ENSG00000004939	3	4	4	5	6	4	8	3	5	11	4	7
ENSG00000004948	1	0	0	0	1	0	0	0	2	1	0	0
ENSG00000004961	1632	1662	1382	1188	1365	1193	1119	1514	1744	1755	2245	2220
ENSG00000004975	968	951	2653	2440	1391	1885	2487	3228	2505	2474	1685	1593
ENSG00000005001	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000005007	9206	8988	6156	5752	10016	7596	6943	8896	11633	10899	9488	8431
ENSG00000005020	2476	2310	3163	3204	4599	3631	2829	3682	5757	5780	5979	5401
ENSG00000005022	23030	22765	34319	31719	19032	20988	23792	31316	19134	19636	43735	40170
ENSG00000005059	2058	2096	8182	7384	1736	2877	3759	5259	3965	4068	6231	5595
ENSG00000005073	0	1	0	0	0	1	0	0	6	6	2	0
ENSG00000005075	1488	1455	1255	1125	2265	1435	1047	1239	3514	3404	2563	2355
ENSG00000005100	2947	2751	3828	3271	2231	3404	4592	6248	2302	2287	2986	2765
ENSG00000005102	2	1	0	0	0	0	0	0	0	0	0	0
ENSG00000005108	139	113	158	183	122	70	0	0	0	1	11	10
ENSG00000005156	2263	2202	1510	1499	3370	2122	1319	1773	2813	2688	2822	2612
ENSG00000005175	2898	2628	3589	3160	3079	2616	2346	2948	4546	4460	5601	5305
ENSG00000005187	92	121	88	92	185	115	50	56	41	42	261	256
ENSG00000005189	482	484	1355	1318	287	337	372	447	1062	1041	653	573
ENSG00000005194	2495	2484	1250	1079	2919	2406	2258	3108	2639	2597	1363	1232
ENSG00000005206	671	679	1067	1094	837	692	791	1029	3931	3402	1055	875
ENSG00000005238	193	201	98	86	125	109	94	134	214	193	152	147
ENSG00000005243	31	41	1	0	2	2	0	2	221	253	16	22
ENSG00000005249	411	396	30104	27229	5041	7286	8049	11172	51606	50962	1623	1570
ENSG00000005302	14075	13644	1145	1123	1108	976	845	1101	2215	2254	3384	3087
ENSG00000005339	5804	5470	6751	6756	6884	5114	4183	5300	12450	11594	10651	9801
ENSG00000005379	25	26	166	162	46	51	65	85	132	112	339	319
ENSG00000005381	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005421	2	0	0	0	0	0	0	0	0	0	1	3
ENSG00000005436	1858	1757	1271	1185	1134	1125	946	1152	1328	1286	1804	1674
ENSG00000005448	993	1091	1147	988	1186	1331	1544	1922	1112	1151	1522	1401
ENSG00000005469	271	258	252	243	258	218	189	249	557	563	820	742
ENSG00000005471	27	25	3580	3434	19	8	1	1	160	158	488	436
ENSG00000005483	5330	4841	3517	3450	9335	6379	4117	5211	8465	7809	8271	7247
ENSG00000005486	814	848	734	705	1710	1210	1035	1331	1540	1589	2165	2004
ENSG00000005513	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000005700	5471	5033	3673	3593	3443	3805	3890	5189	4200	4129	2562	2519
ENSG00000005801	1615	1544	1014	967	1874	1748	1602	2080	1980	1894	3232	2745
ENSG00000005810	12703	11898	8553	9514	14054	10554	8252	10766	31872	28435	6172	6143
ENSG00000005812	2459	2288	1977	1972	3296	2510	1810	2437	11131	11457	4264	3828
ENSG00000005844	3984	3827	3535	3835	126	1012	1886	2382	9650	9046	1080	908
ENSG00000005882	584	594	660	611	736	438	203	277	898	964	435	367
ENSG00000005884	222	210	22	22	447	187	12	16	267	230	36	54
ENSG00000005889	4258	3758	2094	2074	2472	2077	1800	2463	3718	3587	6028	5494
ENSG00000005893	5732	5335	5509	5195	3640	4035	3900	5234	9548	9406	9222	8556
ENSG00000005961	10	4	6	12	6	3	2	7	6	4	4	3
ENSG00000005981	5	1	2	2	1	2	1	1	3	2	4	5
ENSG00000006007	2153	2087	3049	2697	3885	3444	2929	4081	4792	4955	3617	3288
ENSG00000006015	851	848	1240	1042	808	704	697	953	1170	1158	646	599
ENSG00000006016	25	40	62	75	67	68	68	83	81	79	41	21
ENSG00000006025	496	415	373	357	476	375	363	456	777	707	158	178
ENSG00000006042	15	11	20	22	2	3	1	5	1	3	5	0
ENSG00000006047	0	0	0	0	13	3	0	1	6	5	1	0
ENSG00000006059	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	1645	1612	549	456	692	994	1324	1712	1471	1506	1500	1371
ENSG00000006071	1	0	18	15	0	0	0	0	1	1	0	0
ENSG00000006116	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118	220	258	19	17	22	14	9	19	53	59	6	4
ENSG00000006125	12015	11673	7250	6905	9594	7550	6048	8201	10156	9707	9729	8636
ENSG00000006128	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006194	1817	1686	1659	1486	1729	1657	1842	2304	2485	2618	2990	2778
ENSG00000006210	2	4	4	3	2	0	3	2	1	2	1	0
ENSG00000006282	514	537	1296	1280	25	7	0	0	167	162	536	465
ENSG00000006283	8	16	0	3	0	0	0	0	0	1	0	3
ENSG00000006327	22	35	15	24	32	23	32	48	20	15	31	21
ENSG00000006377	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000006432	1140	1063	1678	1811	311	535	726	1001	1115	1045	884	811
ENSG00000006451	2261	2213	2502	2343	3886	3267	2777	3668	4762	4875	4864	4389
ENSG00000006453	1902	1903	84	75	22	13	3	2	420	411	428	384
ENSG00000006459	490	420	512	587	1261	868	475	547	1389	1425	2041	1883
ENSG00000006468	189	190	0	0	1	1	0	0	0	0	1	2
ENSG00000006530	2503	2434	1043	993	1501	1513	1469	1887	520	498	1265	1155
ENSG00000006534	15	13	19	19	20	52	73	106	74	67	76	56
