Gene ID	ERR2618819	ERR2618820	ERR2618821	ERR2618822	ERR2618823	ERR2618824	ERR2618825	ERR2618826
ENSG00000000003	5	8	12	8	10	11	11	13
ENSG00000000005	0	0	0	0	0	0	0	0
ENSG00000000419	1961	2023	2379	2378	2252	2061	2443	2205
ENSG00000000457	686	691	704	674	783	644	755	703
ENSG00000000460	2196	2354	1274	1084	2344	2263	1219	1277
ENSG00000000938	136	130	65	46	133	154	59	39
ENSG00000000971	0	0	13	15	0	0	13	12
ENSG00000001036	7	5	1410	1313	2	5	1528	1336
ENSG00000001084	3315	3479	4435	4009	3812	3341	4436	4215
ENSG00000001167	6777	7183	2013	1745	7330	6675	1844	1673
ENSG00000001460	34	40	834	765	42	38	823	818
ENSG00000001461	2207	2252	4095	3840	2338	2021	4221	4050
ENSG00000001497	4076	4186	4652	4291	4796	4235	4831	4320
ENSG00000001561	1831	1895	1731	1816	1952	1904	1884	1703
ENSG00000001617	28	38	166	121	39	31	165	153
ENSG00000001626	69	90	19	20	46	63	16	27
ENSG00000001629	3172	3447	3900	3422	3539	3176	3843	3682
ENSG00000001630	12	15	704	563	22	17	575	604
ENSG00000001631	1857	2039	4447	4070	2048	1873	4635	4382
ENSG00000002016	728	715	630	521	829	739	645	586
ENSG00000002079	7	11	5	9	13	4	12	12
ENSG00000002330	941	1002	939	877	1140	946	981	898
ENSG00000002549	2897	3084	3212	3027	3229	2976	3231	3062
ENSG00000002586	17839	18524	2196	2018	21644	18492	2389	1969
ENSG00000002587	3	4	2	0	3	2	4	0
ENSG00000002726	7	8	0	1	4	1	1	0
ENSG00000002745	3	6	3	1	3	4	1	1
ENSG00000002746	11	12	475	461	17	8	489	462
ENSG00000002822	1269	1352	1268	1076	1544	1386	1288	1135
ENSG00000002834	8464	8791	19082	17635	9020	8097	19806	18078
ENSG00000002919	836	905	1635	1563	987	863	1792	1567
ENSG00000002933	2	2	0	0	4	0	0	0
ENSG00000003056	3529	3726	4559	4034	3902	3735	4393	4052
ENSG00000003096	0	0	1	1	0	0	0	0
ENSG00000003137	949	853	2	1	993	910	0	2
ENSG00000003147	152	144	152	135	198	135	173	147
ENSG00000003249	53	48	11	12	62	60	16	14
ENSG00000003393	1906	1733	482	465	1846	1632	496	464
ENSG00000003400	883	962	738	682	958	943	774	739
ENSG00000003402	1686	1874	3592	3406	1993	1661	4062	3632
ENSG00000003436	70	58	130	93	67	68	123	134
ENSG00000003509	338	344	705	627	394	370	685	610
ENSG00000003756	3118	2938	2650	2243	3370	3219	2744	2471
ENSG00000003987	47	45	72	49	47	38	68	71
ENSG00000003989	0	0	0	0	0	0	1	1
ENSG00000004059	3515	3724	4175	3620	4159	3690	4247	3618
ENSG00000004139	173	141	1290	1097	161	148	1418	1218
ENSG00000004142	5717	5955	9622	9127	6560	5688	10087	9348
ENSG00000004399	970	1009	856	770	1150	940	896	841
ENSG00000004455	11081	11761	14058	13118	13214	11538	14239	12947
ENSG00000004468	1070	1184	3334	3239	1405	1225	3767	3349
ENSG00000004478	14502	15003	8964	7559	16001	14095	8545	7923
ENSG00000004487	13738	14689	7391	7062	16165	13879	7791	7122
ENSG00000004534	3317	3269	3336	2921	3659	3384	3619	3173
ENSG00000004660	401	352	389	299	403	370	418	326
ENSG00000004700	1411	1493	1082	1115	1600	1516	1206	1129
ENSG00000004766	988	1084	1602	1520	1096	993	1687	1552
ENSG00000004776	13	6	19	22	16	13	25	33
ENSG00000004777	1241	1251	442	324	1600	1478	502	392
ENSG00000004779	3496	3762	2907	2642	4129	3679	2778	2531
ENSG00000004799	0	0	0	0	0	0	0	0
ENSG00000004809	7	7	0	1	7	5	1	2
ENSG00000004838	126	115	69	59	154	126	71	63
ENSG00000004846	8	9	12	4	4	5	4	4
ENSG00000004848	5	0	38	36	1	0	38	34
ENSG00000004864	434	442	1622	1474	517	404	1584	1517
ENSG00000004866	440	457	2671	2449	511	451	2623	2427
ENSG00000004897	10188	10694	7818	7630	11467	10384	8203	7796
ENSG00000004939	7	6	14	10	8	7	8	6
ENSG00000004948	0	0	0	1	1	0	0	0
ENSG00000004961	1215	1213	1609	1477	1363	1214	1740	1467
ENSG00000004975	3788	3772	3626	3251	4093	3604	3777	3412
ENSG00000005001	0	0	3	2	0	0	5	3
ENSG00000005007	10620	11408	7159	6426	11988	10526	7384	6819
ENSG00000005020	2	6	4772	4473	12	4	4873	4603
ENSG00000005022	17509	18294	20819	19308	20152	17970	21285	19076
ENSG00000005059	3034	3127	2013	1870	3346	3156	2098	1850
ENSG00000005073	1	2	581	533	5	2	585	509
ENSG00000005075	1335	1470	2119	1935	1468	1338	2120	1904
ENSG00000005100	3154	3332	6274	6193	3671	3285	6867	6322
ENSG00000005102	2	1	0	2	0	0	0	0
ENSG00000005108	0	0	8	9	0	1	9	13
ENSG00000005156	4343	4686	4259	3901	5015	4324	4462	4156
ENSG00000005175	3248	3460	3140	2972	3621	3348	3281	3089
ENSG00000005187	6	3	197	207	4	3	222	183
ENSG00000005189	32	23	467	494	35	29	500	528
ENSG00000005194	2690	2766	1612	1447	2954	2642	1685	1476
ENSG00000005206	2420	2201	1691	1291	2891	2607	1975	1451
ENSG00000005238	420	414	67	66	494	396	75	77
ENSG00000005243	2	4	387	337	1	4	402	348
ENSG00000005249	1227	1252	1249	1336	1362	1230	1304	1258
ENSG00000005302	1917	2007	1079	961	2248	1954	1159	978
ENSG00000005339	4116	4429	3290	3210	4403	3875	3584	3589
ENSG00000005379	747	773	587	458	994	882	719	518
ENSG00000005381	0	0	0	0	0	0	1	0
ENSG00000005421	0	0	3	1	0	0	1	1
ENSG00000005436	1930	2107	1518	1478	2113	2003	1569	1448
ENSG00000005448	1436	1592	1384	1301	1722	1488	1521	1353
ENSG00000005469	522	582	495	446	588	567	561	509
ENSG00000005471	8	5	21	17	5	6	25	10
ENSG00000005483	5071	5381	7933	7859	5409	4859	8503	8066
ENSG00000005486	1810	1939	3049	3018	2157	1872	3340	3075
ENSG00000005513	51	52	0	0	65	49	0	0
ENSG00000005700	3597	3739	3953	3645	3947	3733	3846	3795
ENSG00000005801	2022	2041	1579	1438	2093	1972	1584	1480
ENSG00000005810	5416	6266	9837	9184	5678	4940	10089	11149
ENSG00000005812	1964	1957	3185	3226	2162	1920	3399	3060
ENSG00000005844	7257	7674	21678	19756	7681	6822	23650	21190
ENSG00000005882	720	774	698	671	879	686	750	738
ENSG00000005884	852	871	1560	1437	1063	870	1672	1435
ENSG00000005889	2313	2377	2190	2251	2462	2311	2359	2314
ENSG00000005893	4600	4930	9011	8959	5120	4602	9201	8660
ENSG00000005961	26	21	9	12	36	24	10	9
ENSG00000005981	6	6	5	12	6	7	13	12
ENSG00000006007	2831	2994	3170	2969	3270	2908	3374	3079
ENSG00000006015	866	801	774	606	1047	905	820	632
ENSG00000006016	69	85	53	59	85	72	80	55
ENSG00000006025	792	754	846	686	966	802	1029	726
