Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[disease]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[cell line]	Factor Value[stimulus]
HUT78_BR1_Bead_RNA	ERS2537527	SAMEA4717380	Homo sapiens	HuT78	wild type genotype	blood	T cell	Sezary's disease	cell	P-MTAB-75587	Carl Fishwick	P-MTAB-75591	Carl Fishwick	P-MTAB-75588	Carl Fishwick	P-MTAB-75589	Natalie Smerdon	HUT78_BR1_Bead_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75590	Natalie Smerdon	HUT78_BR1_Bead_RNA	sequencing assay	ERX2636516	24757_7_1.cram	24757_7_1.cram	ERR2618819	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/009/ERR2618819/ERR2618819_1.fastq.gz	150	76	HuT78	Dynabeads human T-activator CD4/CD28 beads
HUT78_BR1_Bead_RNA	ERS2537527	SAMEA4717380	Homo sapiens	HuT78	wild type genotype	blood	T cell	Sezary's disease	cell	P-MTAB-75587	Carl Fishwick	P-MTAB-75591	Carl Fishwick	P-MTAB-75588	Carl Fishwick	P-MTAB-75589	Natalie Smerdon	HUT78_BR1_Bead_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75590	Natalie Smerdon	HUT78_BR1_Bead_RNA	sequencing assay	ERX2636516	24757_7_1.cram	24757_7_1.cram	ERR2618819	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/009/ERR2618819/ERR2618819_2.fastq.gz	150	76	HuT78	Dynabeads human T-activator CD4/CD28 beads
HUT78_BR2_Bead_RNA	ERS2537528	SAMEA4717381	Homo sapiens	HuT78	wild type genotype	blood	T cell	Sezary's disease	cell	P-MTAB-75587	Carl Fishwick	P-MTAB-75591	Carl Fishwick	P-MTAB-75588	Carl Fishwick	P-MTAB-75589	Natalie Smerdon	HUT78_BR2_Bead_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75590	Natalie Smerdon	HUT78_BR2_Bead_RNA	sequencing assay	ERX2636517	24757_7_3.cram	24757_7_3.cram	ERR2618820	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/000/ERR2618820/ERR2618820_1.fastq.gz	150	76	HuT78	Dynabeads human T-activator CD4/CD28 beads
HUT78_BR2_Bead_RNA	ERS2537528	SAMEA4717381	Homo sapiens	HuT78	wild type genotype	blood	T cell	Sezary's disease	cell	P-MTAB-75587	Carl Fishwick	P-MTAB-75591	Carl Fishwick	P-MTAB-75588	Carl Fishwick	P-MTAB-75589	Natalie Smerdon	HUT78_BR2_Bead_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75590	Natalie Smerdon	HUT78_BR2_Bead_RNA	sequencing assay	ERX2636517	24757_7_3.cram	24757_7_3.cram	ERR2618820	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/000/ERR2618820/ERR2618820_2.fastq.gz	150	76	HuT78	Dynabeads human T-activator CD4/CD28 beads
Jurkat_BR1_Bead_RNA	ERS2537529	SAMEA4717382	Homo sapiens	Jurkat E6.1	wild type genotype	blood	T cell	childhood T acute lymphoblastic leukemia	cell	P-MTAB-75587	Carl Fishwick	P-MTAB-75591	Carl Fishwick	P-MTAB-75588	Carl Fishwick	P-MTAB-75589	Natalie Smerdon	Jurkat_BR1_Bead_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75590	Natalie Smerdon	Jurkat_BR1_Bead_RNA	sequencing assay	ERX2636518	24757_6_2.cram	24757_6_2.cram	ERR2618821	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/001/ERR2618821/ERR2618821_1.fastq.gz	150	76	Jurkat E6.1	Dynabeads human T-activator CD4/CD28 beads
Jurkat_BR1_Bead_RNA	ERS2537529	SAMEA4717382	Homo sapiens	Jurkat E6.1	wild type genotype	blood	T cell	childhood T acute lymphoblastic leukemia	cell	P-MTAB-75587	Carl Fishwick	P-MTAB-75591	Carl Fishwick	P-MTAB-75588	Carl Fishwick	P-MTAB-75589	Natalie Smerdon	Jurkat_BR1_Bead_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75590	Natalie Smerdon	Jurkat_BR1_Bead_RNA	sequencing assay	ERX2636518	24757_6_2.cram	24757_6_2.cram	ERR2618821	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/001/ERR2618821/ERR2618821_2.fastq.gz	150	76	Jurkat E6.1	Dynabeads human T-activator CD4/CD28 beads
Jurkat_BR2_Bead_RNA	ERS2537530	SAMEA4717383	Homo sapiens	Jurkat E6.1	wild type genotype	blood	T cell	childhood T acute lymphoblastic leukemia	cell	P-MTAB-75587	Carl Fishwick	P-MTAB-75591	Carl Fishwick	P-MTAB-75588	Carl Fishwick	P-MTAB-75589	Natalie Smerdon	Jurkat_BR2_Bead_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75590	Natalie Smerdon	Jurkat_BR2_Bead_RNA	sequencing assay	ERX2636519	24757_6_4.cram	24757_6_4.cram	ERR2618822	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/002/ERR2618822/ERR2618822_1.fastq.gz	150	76	Jurkat E6.1	Dynabeads human T-activator CD4/CD28 beads
Jurkat_BR2_Bead_RNA	ERS2537530	SAMEA4717383	Homo sapiens	Jurkat E6.1	wild type genotype	blood	T cell	childhood T acute lymphoblastic leukemia	cell	P-MTAB-75587	Carl Fishwick	P-MTAB-75591	Carl Fishwick	P-MTAB-75588	Carl Fishwick	P-MTAB-75589	Natalie Smerdon	Jurkat_BR2_Bead_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75590	Natalie Smerdon	Jurkat_BR2_Bead_RNA	sequencing assay	ERX2636519	24757_6_4.cram	24757_6_4.cram	ERR2618822	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/002/ERR2618822/ERR2618822_2.fastq.gz	150	76	Jurkat E6.1	Dynabeads human T-activator CD4/CD28 beads
HUT78_BR1_Ctr_RNA	ERS2537531	SAMEA4717384	Homo sapiens	HuT78	wild type genotype	blood	T cell	Sezary's disease	cell	P-MTAB-75587	Carl Fishwick	  	  	P-MTAB-75588	Carl Fishwick	P-MTAB-75589	Natalie Smerdon	HUT78_BR1_Ctr_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75590	Natalie Smerdon	HUT78_BR1_Ctr_RNA	sequencing assay	ERX2636520	24757_6_5.cram	24757_6_5.cram	ERR2618823	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/003/ERR2618823/ERR2618823_1.fastq.gz	150	76	HuT78	none
HUT78_BR1_Ctr_RNA	ERS2537531	SAMEA4717384	Homo sapiens	HuT78	wild type genotype	blood	T cell	Sezary's disease	cell	P-MTAB-75587	Carl Fishwick	  	  	P-MTAB-75588	Carl Fishwick	P-MTAB-75589	Natalie Smerdon	HUT78_BR1_Ctr_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75590	Natalie Smerdon	HUT78_BR1_Ctr_RNA	sequencing assay	ERX2636520	24757_6_5.cram	24757_6_5.cram	ERR2618823	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/003/ERR2618823/ERR2618823_2.fastq.gz	150	76	HuT78	none
