Gene ID	ERR2619174	ERR2619175	ERR2619176	ERR2619177	ERR2619178	ERR2619179	ERR2619180	ERR2619181	ERR2619182	ERR2619183	ERR2619184	ERR2619185	ERR2619186	ERR2619187	ERR2619188	ERR2619189	ERR2619190	ERR2619191
ENSG00000000003	3532	3915	3132	3109	4599	4343	3856	3581	2932	2841	2993	3067	3272	3322	4884	3938	3343	3123
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000000419	2196	2405	2070	1900	4409	4047	3040	2807	2064	1984	1861	1729	1670	1839	2657	1939	1771	2129
ENSG00000000457	776	923	939	992	244	236	233	205	400	361	362	402	623	498	563	539	587	511
ENSG00000000460	1222	1365	999	956	627	531	525	442	568	567	498	546	50	58	67	87	81	98
ENSG00000000938	0	0	0	0	0	1	0	0	2	0	0	0	30	368	42	886	1110	757
ENSG00000000971	89	90	96	68	0	0	1	2	14045	14397	14917	16279	54135	73636	49351	61849	53027	44731
ENSG00000001036	6528	7216	6366	6097	7315	6411	4930	4661	5706	5252	5034	4520	4411	3856	6245	4652	3999	4152
ENSG00000001084	1508	1651	1983	1852	4066	3386	3029	2797	1353	1325	1330	1349	6686	4017	6607	7617	7200	5571
ENSG00000001167	7847	8849	8639	8635	2741	2488	1802	1666	2568	2567	2571	2572	534	604	641	691	918	590
ENSG00000001460	163	147	113	113	239	290	170	173	128	112	112	107	93	115	160	136	197	121
ENSG00000001461	417	405	489	484	625	585	423	415	346	304	371	410	395	321	546	670	535	607
ENSG00000001497	1300	1485	1399	1416	1484	1364	907	920	1450	1377	1436	1463	637	630	853	900	873	882
ENSG00000001561	577	588	775	679	6	14	9	10	366	329	297	352	941	859	781	877	962	636
ENSG00000001617	842	873	763	710	1600	1480	943	939	365	344	335	378	207	293	223	158	406	219
ENSG00000001626	23	27	11	15	0	0	0	0	55	56	40	46	36	105	47	41	223	39
ENSG00000001629	1150	1285	1344	1196	1534	1417	1178	1027	1441	1398	1173	1263	956	957	1360	1185	1231	1093
ENSG00000001630	479	549	925	906	607	763	1134	1203	802	630	1315	1329	1022	646	1541	1400	1051	1587
ENSG00000001631	1353	1491	1444	1416	1107	1088	911	807	1100	1103	1107	1180	644	609	875	864	802	774
ENSG00000002016	459	565	455	416	367	311	268	245	299	349	298	338	132	111	202	138	154	144
ENSG00000002079	3	3	4	1	17	20	3	1	6	2	6	5	0	0	0	1	2	2
