Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[organism part]	Characteristics[individual]	Characteristics[disease]	Characteristics[genotype]	Characteristics[growth condition]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[cell line]	Factor Value[growth condition]
HEP3B_2D_BR1_RNA	ERS2537959	SAMEA4717812	Homo sapiens	Hep3B	hepatocyte	liver	not applicable	hepatocellular carcinoma	wild type genotype	2D	cell	P-MTAB-75596	Carl Fishwick	P-MTAB-75600	Carl Fishwick	P-MTAB-75597	Carl Fishwick	P-MTAB-75598	Natalie Smerdon	HEP3B_2D_BR1_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75599	Natalie Smerdon	HEP3B_2D_BR1_RNA	sequencing assay	ERX2636871	20485_5_1.cram	20485_5_1.cram	ERR2619174	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/004/ERR2619174/ERR2619174_1.fastq.gz	150	76	Hep3B	2D
HEP3B_2D_BR1_RNA	ERS2537959	SAMEA4717812	Homo sapiens	Hep3B	hepatocyte	liver	not applicable	hepatocellular carcinoma	wild type genotype	2D	cell	P-MTAB-75596	Carl Fishwick	P-MTAB-75600	Carl Fishwick	P-MTAB-75597	Carl Fishwick	P-MTAB-75598	Natalie Smerdon	HEP3B_2D_BR1_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75599	Natalie Smerdon	HEP3B_2D_BR1_RNA	sequencing assay	ERX2636871	20485_5_1.cram	20485_5_1.cram	ERR2619174	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/004/ERR2619174/ERR2619174_2.fastq.gz	150	76	Hep3B	2D
HEP3B_2D_BR2_RNA	ERS2537960	SAMEA4717813	Homo sapiens	Hep3B	hepatocyte	liver	not applicable	hepatocellular carcinoma	wild type genotype	2D	cell	P-MTAB-75596	Carl Fishwick	P-MTAB-75600	Carl Fishwick	P-MTAB-75597	Carl Fishwick	P-MTAB-75598	Natalie Smerdon	HEP3B_2D_BR2_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75599	Natalie Smerdon	HEP3B_2D_BR2_RNA	sequencing assay	ERX2636872	20485_5_2.cram	20485_5_2.cram	ERR2619175	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/005/ERR2619175/ERR2619175_1.fastq.gz	150	76	Hep3B	2D
HEP3B_2D_BR2_RNA	ERS2537960	SAMEA4717813	Homo sapiens	Hep3B	hepatocyte	liver	not applicable	hepatocellular carcinoma	wild type genotype	2D	cell	P-MTAB-75596	Carl Fishwick	P-MTAB-75600	Carl Fishwick	P-MTAB-75597	Carl Fishwick	P-MTAB-75598	Natalie Smerdon	HEP3B_2D_BR2_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75599	Natalie Smerdon	HEP3B_2D_BR2_RNA	sequencing assay	ERX2636872	20485_5_2.cram	20485_5_2.cram	ERR2619175	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/005/ERR2619175/ERR2619175_2.fastq.gz	150	76	Hep3B	2D
HEP3B_3D_BR1_RNA	ERS2537961	SAMEA4717814	Homo sapiens	Hep3B	hepatocyte	liver	not applicable	hepatocellular carcinoma	wild type genotype	3D	cell	P-MTAB-75596	Carl Fishwick	P-MTAB-75602	Carl Fishwick	P-MTAB-75597	Carl Fishwick	P-MTAB-75598	Natalie Smerdon	HEP3B_3D_BR1_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75599	Natalie Smerdon	HEP3B_3D_BR1_RNA	sequencing assay	ERX2636873	20485_5_3.cram	20485_5_3.cram	ERR2619176	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/006/ERR2619176/ERR2619176_1.fastq.gz	150	76	Hep3B	3D
HEP3B_3D_BR1_RNA	ERS2537961	SAMEA4717814	Homo sapiens	Hep3B	hepatocyte	liver	not applicable	hepatocellular carcinoma	wild type genotype	3D	cell	P-MTAB-75596	Carl Fishwick	P-MTAB-75602	Carl Fishwick	P-MTAB-75597	Carl Fishwick	P-MTAB-75598	Natalie Smerdon	HEP3B_3D_BR1_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75599	Natalie Smerdon	HEP3B_3D_BR1_RNA	sequencing assay	ERX2636873	20485_5_3.cram	20485_5_3.cram	ERR2619176	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/006/ERR2619176/ERR2619176_2.fastq.gz	150	76	Hep3B	3D
HEP3B_3D_BR2_RNA	ERS2537962	SAMEA4717815	Homo sapiens	Hep3B	hepatocyte	liver	not applicable	hepatocellular carcinoma	wild type genotype	3D	cell	P-MTAB-75596	Carl Fishwick	P-MTAB-75602	Carl Fishwick	P-MTAB-75597	Carl Fishwick	P-MTAB-75598	Natalie Smerdon	HEP3B_3D_BR2_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75599	Natalie Smerdon	HEP3B_3D_BR2_RNA	sequencing assay	ERX2636874	20485_5_4.cram	20485_5_4.cram	ERR2619177	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/007/ERR2619177/ERR2619177_1.fastq.gz	150	76	Hep3B	3D
HEP3B_3D_BR2_RNA	ERS2537962	SAMEA4717815	Homo sapiens	Hep3B	hepatocyte	liver	not applicable	hepatocellular carcinoma	wild type genotype	3D	cell	P-MTAB-75596	Carl Fishwick	P-MTAB-75602	Carl Fishwick	P-MTAB-75597	Carl Fishwick	P-MTAB-75598	Natalie Smerdon	HEP3B_3D_BR2_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75599	Natalie Smerdon	HEP3B_3D_BR2_RNA	sequencing assay	ERX2636874	20485_5_4.cram	20485_5_4.cram	ERR2619177	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/007/ERR2619177/ERR2619177_2.fastq.gz	150	76	Hep3B	3D
HEPG2_2D_BR1_RNA	ERS2537963	SAMEA4717816	Homo sapiens	HepG2	hepatocyte	liver	not applicable	hepatocellular carcinoma	wild type genotype	2D	cell	P-MTAB-75596	Carl Fishwick	P-MTAB-75600	Carl Fishwick	P-MTAB-75597	Carl Fishwick	P-MTAB-75598	Natalie Smerdon	HEPG2_2D_BR1_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75599	Natalie Smerdon	HEPG2_2D_BR1_RNA	sequencing assay	ERX2636875	20485_5_5.cram	20485_5_5.cram	ERR2619178	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/008/ERR2619178/ERR2619178_1.fastq.gz	150	76	HepG2	2D
HEPG2_2D_BR1_RNA	ERS2537963	SAMEA4717816	Homo sapiens	HepG2	hepatocyte	liver	not applicable	hepatocellular carcinoma	wild type genotype	2D	cell	P-MTAB-75596	Carl Fishwick	P-MTAB-75600	Carl Fishwick	P-MTAB-75597	Carl Fishwick	P-MTAB-75598	Natalie Smerdon	HEPG2_2D_BR1_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-75599	Natalie Smerdon	HEPG2_2D_BR1_RNA	sequencing assay	ERX2636875	20485_5_5.cram	20485_5_5.cram	ERR2619178	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR261/008/ERR2619178/ERR2619178_2.fastq.gz	150	76	HepG2	2D
